id,model,cpu,cores,clock_ghz,ram_gb,storage_gb,wifi,bluetooth,weight_kg,release_date
1,MacBook Air M2,Apple M2,8,3.49,16,512,true,true,1.24,2022-07-15
2,ThinkPad X1 Carbon Gen 11,Intel Core i7-1365U,10,5.2,32,1024,true,true,1.12,2023-05-09
3,Dell XPS 15,Intel Core i9-13900H,14,5.4,64,2048,true,true,1.86,2023-04-03
4,Mac Studio M2 Ultra,Apple M2 Ultra,24,3.68,128,4096,true,true,3.6,2023-06-13
5,Raspberry Pi 5,Broadcom BCM2712,4,2.4,8,0,true,true,0.046,2023-10-23
6,Framework Laptop 16,AMD Ryzen 9 7940HS,8,5.2,64,2048,true,true,2.1,2024-03-19
7,Steam Deck OLED,AMD Custom APU,4,3.5,16,512,true,true,0.64,2023-11-16
8,System76 Thelio,AMD Ryzen 9 7950X,16,5.7,128,4096,false,false,11.34,2023-02-14
9,Lenovo Legion Pro 7i,Intel Core i9-14900HX,24,5.8,32,2048,true,true,2.8,2024-01-08
10,ASUS ROG Ally X,AMD Ryzen Z1 Extreme,8,5.1,24,1024,true,true,0.678,2024-07-22
11,Surface Pro 11,Snapdragon X Elite,12,3.8,32,1024,true,true,0.895,2024-06-18
12,iMac M3,Apple M3,8,4.05,24,1024,true,true,4.43,2023-11-07
13,Beelink SER7 Mini PC,AMD Ryzen 7 7840HS,8,5.1,32,1024,true,true,0.501,2023-09-12
14,Dell Precision 7780,Intel Xeon W-13955MX,16,5.5,128,4096,true,true,3.4,2023-08-21
15,HP EliteBook 845 G11,AMD Ryzen 7 PRO 8840U,8,5.1,16,512,true,true,1.36,2024-05-30
